dataset,model,pred_len,seq_len,seed,training_time,mse,mae,swd,ept,crps,nll,experiment,eval_tag,sigma,fern_nll
lorenz_param_shock_ode0,fern,192,336,7,385.52168703079224,21.833078384399414,2.5118536949157715,5.683910846710205,164.02879333496094,2.2753303050994873,39.562049865722656,lorenz_param_shock,fern_nll,0.0,35.58578872680664
lorenz_state_shock_ode0,fern,64,336,1955,298.87756299972534,2.090618371963501,0.822418212890625,1.0078984498977661,63.26120376586914,0.6564033031463623,4.264744281768799,lorenz_state_shock,fern_nll,0.0,2.8864963054656982
lorenz_state_shock_ode0,fern,64,336,7,355.7164068222046,1.5491100549697876,0.7476840615272522,0.7759358286857605,63.51382827758789,0.5852265357971191,3.0905630588531494,lorenz_state_shock,fern_nll,0.0,1.962476134300232
lorenz_state_shock_ode0,fern,192,336,1955,491.55552196502686,10.532881736755371,1.6826633214950562,2.3921384811401367,172.3875732421875,1.4683284759521484,19.280492782592773,lorenz_state_shock,fern_nll,0.0,16.836654663085938
lorenz_state_shock_ode0,fern,192,336,7,424.9678797721863,10.684739112854004,1.8288627862930298,3.100468397140503,168.02996826171875,1.6040592193603516,19.579618453979492,lorenz_state_shock,fern_nll,0.0,17.100521087646484
lorenz_switch_ode0,fern,64,336,1955,310.5723991394043,3.5504672527313232,1.1379438638687134,1.9653778076171875,63.34891891479492,0.9315071105957031,6.972491264343262,lorenz_switch,fern_nll,0.0,5.357619762420654
lorenz_switch_ode0,fern,64,336,7,250.21093606948853,3.9944212436676025,1.0758708715438843,2.4568545818328857,62.91857147216797,0.8845216035842896,7.437138080596924,lorenz_switch,fern_nll,0.0,6.009098529815674
lorenz_switch_ode0,fern,192,336,1955,516.1839587688446,11.964898109436035,1.7595454454421997,2.9186925888061523,173.0630645751953,1.5436584949493408,21.881750106811523,lorenz_switch,fern_nll,0.0,19.198047637939453
lorenz_switch_ode0,fern,192,336,7,433.2067584991455,11.565603256225586,1.8211698532104492,3.0819125175476074,172.47006225585938,1.5989363193511963,21.120370864868164,lorenz_switch,fern_nll,0.0,18.544666290283203
ou_ode0,fern,64,336,1955,177.2605481147766,0.19688116014003754,0.35610321164131165,0.13089683651924133,8.784860610961914,0.2641754746437073,0.9487739205360413,ou,fern_nll,0.0,-0.8166787028312683
