dataset,model,flavor,pred_len,seq_len,sigma,seed,mse,mae,crps,swd,ept
lorenz_switch,timesfm-2.5-200m-pytorch,timefm,192,336,0.0,0,79.62736617877029,6.272302529013338,5.168805660705192,30.911582946777344,77.49246215820312
ou,chronos-2,chronos2,64,336,0.0,0,0.2188907225397402,0.3725683784394124,0.28865837841006714,0.1804051697254181,9.5
ou,chronos-2,chronos2,192,336,0.0,0,0.23810913739112613,0.38941755491267666,0.30803728064384384,0.18717865645885468,9.295845985412598
ou_param_shock,chronos-2,chronos2,64,336,0.0,0,0.2188904288833647,0.37256832830572445,0.28865826287998914,0.18040436506271362,12.53330135345459
ou_param_shock,chronos-2,chronos2,192,336,0.0,0,0.23810907007672827,0.38941750466843705,0.3080374122254754,0.187178835272789,12.246200561523438
ou,chronos-bolt-base,chronos,64,336,0.0,0,0.24474606527588008,0.39071161377214453,0.30578202679824196,0.18575115501880646,9.2107515335083
ou,chronos-bolt-base,chronos,192,336,0.0,0,0.2556201167623564,0.4029590293629191,0.31548470340238877,0.1634949892759323,9.047112464904785
ou_param_shock,chronos-bolt-base,chronos,64,336,0.0,0,0.2447460745767,0.39071155025434995,0.3057820478456004,0.18575111031532288,12.312559127807617
ou_param_shock,chronos-bolt-base,chronos,192,336,0.0,0,0.25562061437357525,0.40295962456391093,0.3154846909621083,0.16349537670612335,12.372340202331543
ou,chronos-bolt-base,chronos,64,336,0.0,0,0.24474606527588008,0.39071161377214453,0.30578202679824196,0.18575115501880646,9.2107515335083
ou,chronos-bolt-base,chronos,192,336,0.0,0,0.2556201167623564,0.4029590293629191,0.31548470340238877,0.1634949892759323,9.047112464904785
ou_param_shock,chronos-bolt-base,chronos,64,336,0.0,0,0.2447460745767,0.39071155025434995,0.3057820478456004,0.18575111031532288,12.312559127807617
ou_param_shock,chronos-bolt-base,chronos,192,336,0.0,0,0.25562061437357525,0.40295962456391093,0.3154846909621083,0.16349537670612335,12.372340202331543
ou,chronos-bolt-small,chronos_small,64,336,0.0,0,0.2280704928056951,0.3787044401286785,0.2955822491084361,0.18475723266601562,9.728353500366211
ou,chronos-bolt-small,chronos_small,192,336,0.0,0,0.24731574562585504,0.39528052044333495,0.3077555426755937,0.1964906007051468,9.488855361938477
ou_param_shock,chronos-bolt-small,chronos_small,64,336,0.0,0,0.22807086846808045,0.3787048595729723,0.2955825918989449,0.18475748598575592,12.579447746276855
ou_param_shock,chronos-bolt-small,chronos_small,192,336,0.0,0,0.2473157005348708,0.39528075362813914,0.307755711781882,0.1964900940656662,12.33586597442627
ou,timesfm-2.5-200m-pytorch,timefm,64,336,0.0,0,0.19995389826290955,0.35901274191096894,0.27609363601646686,0.16817741096019745,10.156042098999023
ou,timesfm-2.5-200m-pytorch,timefm,192,336,0.0,0,0.2126617727952807,0.37068936245862555,0.28607189399402555,0.18866653740406036,10.003545761108398
ou_param_shock,timesfm-2.5-200m-pytorch,timefm,64,336,0.0,0,0.1999538943497597,0.3590127431586399,0.27609367602700624,0.16817733645439148,12.943862915039062
ou_param_shock,timesfm-2.5-200m-pytorch,timefm,192,336,0.0,0,0.2126618165979511,0.3706893908015299,0.2860719478088068,0.18866674602031708,12.672239303588867
rossler,chronos-bolt-base,chronos,64,336,0.0,0,8.522326211016662,0.6809940062052854,0.5589169050523647,7.135058879852295,62.163177490234375
