dataset,model,seed,pred_len,sigma,ad_stat,ad_pval,n_rejected,n_directions,fdr_q,n_samples,cov_50%,cov_80%,cov_90%,cov_95%,rejected_ch0,median_p_ch0,rejected_ch1,rejected_ch2,median_p_ch1,median_p_ch2
rossler_ode0_nr2,fern,42,192,1.0,33.06589148364185,0.0,289,576,0.05,3073,0.2612268141880898,0.4722386059587085,0.5807605217485627,0.6623594388400766,35,0.37355806841866324,69,185,0.16826946968185016,7.696580251277063e-32
rossler_ode0_nr2,fern,42,192,2.0,46.45479649996969,0.0,193,576,0.05,3073,0.1381442763134107,0.2596325071410493,0.32900294229309035,0.3871324393462776,14,0.44234122286964306,21,158,0.44190550596751194,7.695599431527097e-16
rossler_ode0_nr2,fern,42,192,0.25,25.14403140223851,0.0,380,576,0.05,3073,0.6253700464620169,0.8714560283110967,0.9292510711573924,0.9549757972665148,88,0.05002118941034539,123,169,0.00018406323167238038,2.899685041674763e-40
rossler_param_shock_ode0,fern,42,192,0.0,7.250928506160108,9.688834745306658e-18,576,576,0.05,3073,0.920074483855805,0.9829891618758362,0.9913787648696533,0.9946978838991937,192,3.6458529726084955e-25,192,192,3.059104506506186e-18,6.305455617104398e-50
rossler_param_shock_ode0,fern,42,192,1.0,49.62827712927026,0.0,284,576,0.05,3073,0.25860428643742994,0.46825848790541275,0.5759589570452327,0.6570635372600065,74,0.0886685777365337,18,192,0.4102181445721468,7.867001441420964e-61
rossler_param_shock_ode0,fern,42,192,2.0,52.29635340340292,0.0,240,576,0.05,3073,0.1368765140832339,0.2563546299309397,0.3252115196876017,0.3825438632172687,37,0.3127125337526081,14,189,0.435577918727332,2.3238756303548626e-44
rossler_param_shock_ode0,fern,42,192,0.25,19.7096438761248,0.0,479,576,0.05,3073,0.5962205544708392,0.8493040866688361,0.9124419224789384,0.9413417037278086,150,2.5069679092079756e-6,138,191,0.0008843508313113755,1.4596268450936965e-68
rossler_param_shock_ode0_nr1,fern,42,192,0.0,7.250928506160108,9.688834745306658e-18,576,576,0.05,3073,0.920074483855805,0.9829891618758362,0.9913787648696533,0.9946978838991937,192,3.6458529726084955e-25,192,192,3.059104506506186e-18,6.305455617104398e-50
rossler_param_shock_ode0_nr1,fern,42,192,1.0,36.149991073939646,0.0,337,576,0.05,3073,0.262704740210435,0.47423120728929385,0.5822175443829772,0.6632317315688614,101,0.01412362933316004,44,192,0.29007754675682573,2.05748221785985e-60
rossler_param_shock_ode0_nr1,fern,42,192,2.0,44.91966099145429,0.0,261,576,0.05,3073,0.13896120331200057,0.2602200618288318,0.3297791924286799,0.38802676537585423,53,0.31354771942192006,17,191,0.4382825295925167,1.0605385567667904e-45
rossler_param_shock_ode0_nr1,fern,42,192,0.25,11.244451972688239,4.677672415418612e-27,531,576,0.05,3073,0.6170171656361861,0.8549915030552844,0.9095199678200817,0.9350769018693278,177,1.6373538180338287e-21,163,191,9.651012070525079e-10,2.8440049616241708e-70
rossler_param_shock_ode0_nr2,fern,42,192,0.0,7.250928506160108,9.688834745306658e-18,576,576,0.05,3073,0.920074483855805,0.9829891618758362,0.9913787648696533,0.9946978838991937,192,3.6458529726084955e-25,192,192,3.059104506506186e-18,6.305455617104398e-50
rossler_param_shock_ode0_nr2,fern,42,192,1.0,43.87897306529612,0.0,323,576,0.05,3073,0.2567043379614564,0.4645512438080775,0.5721031294066602,0.652714502657555,85,0.10791044548307313,46,192,0.26400438014300576,2.0838683783022666e-60
rossler_param_shock_ode0_nr2,fern,42,192,2.0,51.69307536738745,0.0,250,576,0.05,3073,0.13796744495064542,0.25872292728784757,0.32817923581733377,0.38611551777126946,48,0.3108164128537892,10,192,0.5040831391384676,3.305369727299278e-46
rossler_param_shock_ode0_nr2,fern,42,192,0.25,14.542768799827854,0.0,493,576,0.05,3073,0.6038853183642477,0.848560604006219,0.9077912011425678,0.9351136240373142,167,7.466605001052726e-14,136,190,0.0000969321139631614,1.7012913934238569e-69
