dataset,model,pred_len,seq_len,seed,training_time,mse,mae,swd,ept,crps,nll,experiment,eval_tag,sigma,fern_nll
doublewell_param_shock_ode0,fern,64,336,7,62.327807903289795,0.5501295328140259,0.5201508402824402,0.5041368007659912,47.79356002807617,0.4325184226036072,5.120920181274414,doublewell_param_shock,crps,0.0,
doublewell_param_shock_ode0,fern,64,336,20,130.50131797790527,0.6312651634216309,0.5428537130355835,0.5606833696365356,46.88134765625,0.4356916844844818,3.6412243843078613,doublewell_param_shock,crps,0.0,
doublewell_param_shock_ode0,fern,192,336,1955,124.19627976417542,0.7288102507591248,0.6777124404907227,0.5991623997688293,78.93356323242188,0.4805362820625305,1.9205266237258911,doublewell_param_shock,crps,0.0,
doublewell_param_shock_ode0,fern,192,336,7,100.15410876274109,0.7642643451690674,0.6487250924110413,0.6289868950843811,95.87472534179688,0.49095144867897034,2.3891537189483643,doublewell_param_shock,crps,0.0,
doublewell_param_shock_ode0,fern,192,336,20,147.93445682525635,0.7703183889389038,0.680011510848999,0.6212455630302429,77.16864013671875,0.48837584257125854,2.047037363052368,doublewell_param_shock,crps,0.0,
doublewell_switch_ode0,fern,64,336,1955,116.07973980903625,0.3584156632423401,0.396743506193161,0.29078659415245056,55.400917053222656,0.30441147089004517,2.179292917251587,doublewell_switch,crps,0.0,
doublewell_switch_ode0,fern,64,336,7,116.48670601844788,0.3822345435619354,0.4246027171611786,0.3314095735549927,53.24806213378906,0.3111307919025421,1.8909246921539307,doublewell_switch,crps,0.0,
doublewell_switch_ode0,fern,64,336,20,123.28102898597717,0.3572944104671478,0.41030216217041016,0.30432766675949097,54.330440521240234,0.2999054491519928,1.781170129776001,doublewell_switch,crps,0.0,
doublewell_switch_ode0,fern,192,336,1955,133.51333713531494,0.7693269848823547,0.6793652772903442,0.6447478532791138,98.9873275756836,0.4956614673137665,2.0564887523651123,doublewell_switch,crps,0.0,
doublewell_switch_ode0,fern,192,336,7,96.64086055755615,0.6163961887359619,0.6140422224998474,0.5176904201507568,109.08891296386719,0.42342880368232727,1.1830612421035767,doublewell_switch,crps,0.0,
doublewell_switch_ode0,fern,192,336,20,94.5066294670105,0.6388680934906006,0.6156840920448303,0.5315356850624084,108.22679901123047,0.42753469944000244,1.2216719388961792,doublewell_switch,crps,0.0,
lorenz_ode0,fern,64,336,1955,355.68466234207153,0.7380240559577942,0.5314083099365234,0.40154311060905457,63.84984588623047,0.38578543066978455,0.9923846125602722,lorenz,crps,,
lorenz_ode0,fern,64,336,7,459.4796540737152,0.9209120869636536,0.4903554320335388,0.4628047049045563,63.60948944091797,0.35520532727241516,0.8803593516349792,lorenz,crps,,
